"progress","duration","qualtrics_id","id","doi","d_filter","d_synth","c_filter","comments","cr-1","cr-1-1	","cr-1-2","cr-3","cr-3-text","cr-4","cr-4-text","cr-f-1","cr-f-2","cr-f-1-1","cr-a-1","cr-a-2","cr-i-1","cr-i-2","cr-i-3","cr-i-4","cr-r-1","cr-r-2","cr-r-3","cr-r-1-1","dr-1","dr-1-1","dr-1-2","dr-1-2-1","dr-2","dr-2-1","dr-f-1","dr-f-2","dr-f-3","dr-f-1-1","dr-a-1","dr-a-2","dr-i-1","dr-i-2","dr-r-1","dr-r-2","dr-r-3","dr-r-1-1"
"100","300","R_32A1JiFcZ28kNYc","168","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2141751","Yes","No","Yes","Code appears to be an export from QGIS","Yes","Figshare","https://doi.org/10.6084/m9.figshare.20103140.v1","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.20103140.v1","Yes","No","Unclear","Unclear","No","No","Yes","No","Unclear","CC BY 4.0","Yes","https://doi.org/10.6084/m9.figshare.20103140.v1","","","No","","Yes","Yes",NA,"https://doi.org/10.6084/m9.figshare.20103140.v1","Yes",NA,NA,NA,"Yes","No","No","CC BY 4.0"
"100","514","R_3WvOWqouFGPDP5s","169","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2143504","Yes","Yes","Yes","Synthetic data derived from code, so no metadata for data itself","Yes","Figshare","https://doi.org/10.6084/m9.figshare.17284877.v2","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.17284877.v2","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Unclear","CC0","Yes","https://doi.org/10.6084/m9.figshare.17284877.v2","","","No","","Yes","Yes",NA,"https://doi.org/10.6084/m9.figshare.17284877.v2","Yes",NA,NA,NA,"Yes","No","Yes","CC0"
"100","421","R_3RWiZ8TCWJ8qVHw","170","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2143503","Yes","No","Yes","Project-level metadata describes code implementation. Many files in many folders make it difficult to put things together.","Yes","Figshare","https://doi.org/10.6084/m9.figshare.16778287.v2","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.16778287.v2","Yes","Unclear","Unclear","Unclear","Unclear","No","Yes","Unclear","Unclear","https://doi.org/10.6084/m9.figshare.16778287.v2","Yes","https://doi.org/10.6084/m9.figshare.16778287.v2","","","No","","Yes","Yes",NA,"https://doi.org/10.6084/m9.figshare.16778287.v2","Yes",NA,NA,NA,"Yes","No","No","https://doi.org/10.6084/m9.figshare.16778287.v2"
"100","389","R_3GNH3iNsn9OW4Y9","171","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2158190","Yes","No","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.20218862.v1","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.20218862.v1","Yes","Yes","Yes","Yes","Yes","No","Yes","Unclear","Unclear","CC0","Yes","https://doi.org/10.6084/m9.figshare.20218862.v1","","","No","","Yes","Yes",NA,"https://doi.org/10.6084/m9.figshare.20218862.v1","Yes",NA,NA,NA,"Yes","No","No","CC0"
"100","460","R_3J4drpYyQbxWdWo","258","https://www.tandfonline.com/doi/full/10.1080/13658816.2021.1986831","Yes","No","Yes","Code exported from Arc and uses ArcPY. Data in a Geodatabase.","Yes","Figshare","https://doi.org/10.6084/m9.figshare.14602032.v4","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.14602032.v4","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unclear","CC BY 4.0","Yes","https://doi.org/10.6084/m9.figshare.14602032.v4","","","Yes","https://doi.org/10.6084/m9.figshare.14602032.v4","Yes","Yes","Yes","https://doi.org/10.6084/m9.figshare.14602032.v4","Yes","No","Yes","No","Yes","Yes","Unclear","CC BY 4.0"
"100","36","R_3GIbI8gWYHky2o3","293","https://www.tandfonline.com/doi/full/10.1080/13658816.2021.2001722","No","No","No","Introduction to a special issue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","314","R_3lzfeFxETgrIYd9","335","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1863409","Yes","No","Yes","Code appears to be a mix of languages","Yes","Figshare","https://doi.org/10.6084/m9.figshare.12752546.v1","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.12752546.v1","Yes","Yes","Yes","No","No","No","Yes","Yes","Unclear","CC BY 4.0","Yes","https://doi.org/10.6084/m9.figshare.12752546.v1","","","Yes","https://doi.org/10.6084/m9.figshare.12752546.v1","Yes","Yes","No","https://doi.org/10.6084/m9.figshare.12752546.v1","Yes","Unclear","No","No","Yes","No","Yes","CC BY 4.0"
"100","747","R_70fl7Ikt4sAnQdj","172","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2160454","Yes","Yes","Yes","","Partial, some code cannot be accessed","github","https://github.com/ellieroy/no-floors-inference-NL","No reason was provided","","No","","Yes","Yes","https://github.com/ellieroy/no-floors-inference-NL","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","MIT License","Partial, some data cannot be accessed","http://ftp.data.amsterdam.nl/","Limited by data contract","","No","","Yes","Yes","No","http://ftp.data.amsterdam.nl/","Yes","Unclear","No","No","No","Yes","No",""
"100","254","R_7ftPdk5sZJ2RZLz","173","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2146120","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.19642575","","","Unclear, specify why","Only key steps are presented.","Yes","Yes","https://doi.org/10.6084/m9.figshare.19642575","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","","Yes","https://doi.org/10.6084/m9.figshare.19642575","","","No","","Yes","Yes","No","https://doi.org/10.6084/m9.figshare.19642575","Yes","No","No","No","No","Yes","No",""
"100","329","R_7Yw5JMlp9POMmSB","174","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2125972","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/software/usapop2017_rar/18828092","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","https://figshare.com/articles/software/usapop2017_rar/18828092","Yes","Yes","Yes","Yes","Unclear","No","Unclear","No","No","","Yes","https://figshare.com/articles/software/usapop2017_rar/18828092","","","No","","Yes","No","No","","Yes","No","No","No","No","Yes","No",""
"100","431","R_7YXlFqsKrVrMvPC","175","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2128192","Yes","Yes","Yes","","Yes","figshare","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2128192","","","Unclear, specify why","Only key steps are presented.","Yes","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2128192","Yes","Yes","Yes","Yes","Yes","No","Unclear","Yes","No","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2128192","","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2128192","Yes","Unclear","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2128192","Yes","Unclear","Yes","Yes","No","Yes","No",""
"100","252","R_7RtZTev0BirlQIh","176","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131789","Yes","Yes","Yes","","Yes","Both figshare and github","https://github.com/alexanderbrenning/spdiag","","","Yes","","Yes","Yes","https://github.com/alexanderbrenning/spdiag","Yes","Yes","Yes","Yes","Yes","No","Unclear","Yes","Unclear","","Yes","https://figshare.com/articles/journal_contribution/Code_and_data_related_to_Spatial_Machine-Learning_Model_Diagnostics_A_Model-Agnostic_Distance-Based_Approach/15157458","","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131789#","Yes","Yes","No","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131789#","Yes","Yes","Yes","Yes","Unclear","Yes","Yes",""
"100","910","R_3yfTshT5Ab88nte","177","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2147530","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/dataset/GHM_code_data/19604245?file=36840150","","","Yes","","Yes","Yes","https://figshare.com/articles/dataset/GHM_code_data/19604245?file=36840150","Yes","Yes","Yes","No","No","No","No","Yes","Unclear","","Yes","https://figshare.com/articles/dataset/GHM_code_data/19604245?file=36840150","","","No","","Yes","Yes","No","https://figshare.com/articles/dataset/GHM_code_data/19604245?file=36840150","Yes","Yes","No","No","No","Yes","No",""
"100","597","R_3oSDJvPAvI4OTUG","178","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2163494","Yes","Yes","Yes","","Yes","github","https://github.com/marthadais/TrajectoriesCompressionAnalysis","","","Unclear, specify why","","Yes","Yes","https://github.com/marthadais/TrajectoriesCompressionAnalysis","Yes","Yes","Yes","Yes","Yes","No","Unclear","Yes","Yes","","Yes","https://github.com/marthadais/TrajectoriesCompressionAnalysis","","","No","","Yes","Yes","No","https://github.com/marthadais/TrajectoriesCompressionAnalysis","Yes","No","No","No","No","Yes","No",""
"100","661","R_3YABzYElJVET24F","179","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2155654","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.19521760.","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.19521760.","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2155654","","","No","","Yes","Yes","No","https://doi.org/10.6084/m9.figshare.19521760.","Yes","No","No","No","No","Yes","No",""
"100","297","R_33CdZyQb4AIvt5v","180","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2123488","Yes","Yes","Yes","","Yes","zenodo","https://doi.org/10.5281/zenodo.4682683","","","Yes","","Yes","Yes","https://doi.org/10.5281/zenodo.4682683","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://doi.org/10.5281/zenodo.4682683","","","No","","Yes","Yes","No","https://doi.org/10.5281/zenodo.4682683","No","No","Yes","No","No","Yes","No",""
"100","378","R_3TvN6d24CdLkxHd","181","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131790","Yes","Yes","Yes","","Yes","figshare","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131790","","","Unclear, specify why","not enough steps and workflows provided. ","Yes","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131790","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131790","","","No","","Yes","Yes","No","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131790","Yes","No","No","No","No","Yes","No",""
"100","193","R_3e2TEox11GwMCqu","182","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2143505","Yes","Yes","Yes","","Yes","figshare","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2143505","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2143505","Yes","Yes","","Yes","Yes","No","No","Yes","Unclear","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2143505","","","No","","Yes","Yes","No","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2143505","Yes","No","No","No","No","Yes","No",""
"100","292","R_3Zz0Dyr9tgLdDvH","183","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2119476","Yes","Yes","Yes","","Yes","figshare","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2119476","","","Unclear, specify why","not enough work flow to understand the process. ","Yes","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2119476","Yes","Yes","Yes","Yes","Unclear","No","Unclear","Yes","No","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2119476","","","No","","Yes","Yes","No","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2119476","Yes","No","No","No","No","Yes","No",""
"100","241","R_3aXCA7ddhIcpIZq","184","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2077947","Yes","Yes","Yes","","Yes","figshare","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2077947","","","Yes","","Yes","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2077947","Yes","No","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2077947","","","No","","Yes","Yes","No","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2077947","Yes","No","No","No","No","Yes","No",""
"100","308","R_3uQyjNGCqwVGKLf","185","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2117363","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/dataset/BHM_code_and_data/18462065","","","Unclear, specify why","","Yes","Yes","https://figshare.com/articles/dataset/BHM_code_and_data/18462065","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2117363","","","No","","Yes","Yes","No","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2117363","Yes","No","No","No","No","Yes","No",""
"100","397","R_3VCmOLm7RdgspeH","186","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2119477","Yes","Yes","Yes","","Yes","github","https://github.com/mingyxu/MAMR","","","Yes","","Yes","Yes","https://github.com/mingyxu/MAMR","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","","Yes","https://github.com/mingyxu/MAMR","","","No","","Yes","Yes","No","https://github.com/mingyxu/MAMR","Yes","No","No","No","No","Yes","No",""
"100","702","R_3EcLStjdrAqXTap","187","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2120996","Yes","Yes","Yes","","Yes","zenodo","https://zenodo.org/records/7019838","","","Yes","","Yes","Yes","https://zenodo.org/records/7019838","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://doi.org/10.5281/zenodo.5843595","","","Yes","vhttps://doi.org/10.5281/zenodo.5843595","Yes","Yes","Yes","https://doi.org/10.5281/zenodo.5843595","Yes","Unclear","Yes","No","No","Yes","No",""
"100","138","R_39pVIKdBanisZOx","188","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2125973","Yes","Yes","Yes","","Yes","zenodo","https://zenodo.org/records/7070697","","","Yes","","Yes","Yes","https://zenodo.org/records/7070697","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","","Yes","https://zenodo.org/records/7070697","","","No","","Yes","Yes","No","https://zenodo.org/records/7070697","Yes","No","No","No","Unclear","Yes","No",""
"100","181","R_3n9LxN5ajM6q3df","189","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2120995","Yes","Yes","Yes","","Yes","figshare","https://figshare.unimelb.edu.au/articles/software/Code_to_identify_enclaves_and_exclaves_based_on_point_set_topology/14965596/2","","","Unclear, specify why","Only few steps are presented.","Yes","Yes","https://figshare.unimelb.edu.au/articles/software/Code_to_identify_enclaves_and_exclaves_based_on_point_set_topology/14965596/2","Yes","Yes","Yes","Yes","Yes","No","Unclear","Yes","No","","Yes","https://figshare.unimelb.edu.au/articles/software/Code_to_identify_enclaves_and_exclaves_based_on_point_set_topology/14965596/2","","","No","","Yes","Yes","No","https://figshare.unimelb.edu.au/articles/software/Code_to_identify_enclaves_and_exclaves_based_on_point_set_topology/14965596/2","Yes","No","No","No","Unclear","Yes","No",""
"100","176","R_3Yq1hTyxAjt9O4F","190","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2103142","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/software/MFLOG_code/18551234?file=33325367","","","Unclear, specify why","Few Steps are presented.","Yes","Yes","https://figshare.com/articles/software/MFLOG_code/18551234?file=33325367","Yes","Yes","Yes","Yes","Unclear","No","No","Yes","No","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2103142","","","No","","Yes","Yes","No","https://figshare.com/articles/software/MFLOG_code/18551234?file=33325367","Yes","No","No","No","No","Yes","No",""
"100","524","R_3169c7YxBToWMCQ","191","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2123487","Yes","Yes","Yes","","Yes","zenodo","https://doi.org/10.5281/zenodo.7006944","","","Unclear, specify why","Only key steps are presented.","Yes","Yes","https://doi.org/10.5281/zenodo.7006944","Yes","Yes","Yes","Yes","Unclear","No","No","Yes","No","","Yes","https://doi.org/10.5281/zenodo.7006944","","","No","","Yes","Yes","No","https://doi.org/10.5281/zenodo.7006944","Yes","No","No","No","No","Yes","No",""
"100","581","R_310QYb8Qqd1wsG5","192","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2103818","Yes","Yes","Yes","Code link is not found, not accessible. ","Yes","Harvard Dataverse","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6QCRRF","","","Unclear, specify why","steps are unclear to execute code.","Yes","Yes","https://github.com/tudelft3d/3d-building-metrics.","No","No","No","No","No","No","No","No","No","","Yes","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6QCRRF","","","No","","Yes","Yes","No","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6QCRRF","Yes","No","Unclear","No","Unclear","Yes","No",""
"100","671","R_3NyyQ15ZN0cC3tL","193","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2094385","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/dataset/data_for_viewtree/16809802/2","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","https://figshare.com/articles/dataset/data_for_viewtree/16809802/2","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","","Yes","https://figshare.com/articles/dataset/data_for_viewtree/16809802/2","","","No","","Yes","Yes","No","https://figshare.com/articles/dataset/data_for_viewtree/16809802/2","Yes","No","No","No","No","Yes","No",""
"100","153","R_3YKU1cf6egik6O8","194","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2108036","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/journal_contribution/Study_data_and_Code/14980725?file=36187179","","","Unclear, specify why","","Yes","Yes","https://figshare.com/articles/journal_contribution/Study_data_and_Code/14980725?file=36187179","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","","Yes","https://figshare.com/articles/journal_contribution/Study_data_and_Code/14980725?file=36187179","","","Yes","https://figshare.com/articles/journal_contribution/Study_data_and_Code/14980725?file=36187179","Yes","Yes","Yes","https://figshare.com/articles/journal_contribution/Study_data_and_Code/14980725?file=36187179","Yes","Unclear","Yes","No","Unclear","Yes","No",""
"100","98","R_30dVL5SUSr5dnls","195","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2129660","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/dataset/Trend_Surface_Analysis/21191209/1","","","Unclear, specify why","","Yes","Yes","https://figshare.com/articles/dataset/Trend_Surface_Analysis/21191209/1","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","","Yes","https://figshare.com/articles/dataset/Trend_Surface_Analysis/21191209/1","","","No","","Yes","Yes","No","https://figshare.com/articles/dataset/Trend_Surface_Analysis/21191209/1","Yes","No","No","No","No","Yes","No",""
"100","366","R_3H68oE3Nf6SfzHE","196","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2111572","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/dataset/GAANet/17121272/4?file=36581610","","","Unclear, specify why","Only key steps are presented, not intermediate steps. ","Yes","Yes","https://figshare.com/articles/dataset/GAANet/17121272/4?file=36581610","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://figshare.com/articles/dataset/GAANet/17121272/4?file=36581610","","","No","","Yes","Yes","No","https://figshare.com/articles/dataset/GAANet/17121272/4?file=36581610","Yes","No","No","No","No","Yes","No",""
"100","323","R_3t3YFk4PlnlXtec","197","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2104455","Yes","Yes","Yes","The metadata included here only refers to the descriptions of data. The metadata is not in a format of sources, dates of the data. ","Yes","figshare","https://figshare.com/articles/dataset/Children_s_walking_to_urban_services_an_analysis_of_pedestrian_access_to_social_infrastructures_and_its_relationship_with_land_use/14706468/1","","","Unclear, specify why","","Yes","Yes","https://figshare.com/articles/dataset/Children_s_walking_to_urban_services_an_analysis_of_pedestrian_access_to_social_infrastructures_and_its_relationship_with_land_use/14706468/1","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unclear","MIT","Yes","https://figshare.com/articles/dataset/Children_s_walking_to_urban_services_an_analysis_of_pedestrian_access_to_social_infrastructures_and_its_relationship_with_land_use/14706468/1","","","Yes","https://figshare.com/articles/dataset/Children_s_walking_to_urban_services_an_analysis_of_pedestrian_access_to_social_infrastructures_and_its_relationship_with_land_use/14706468/1","Yes","Yes","No","https://figshare.com/articles/dataset/Children_s_walking_to_urban_services_an_analysis_of_pedestrian_access_to_social_infrastructures_and_its_relationship_with_land_use/14706468/1","Yes","No","Yes","No","No","Yes","No",""
"100","2604","R_3YDzP81oHn8SE13","198","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2103562","Yes","Yes","Yes","There are many files in the data. No documents describing the data files. unclear the order to look at the data except for dates. ","Yes","figshare","https://osf.io/5x6y3/?view_only=28dc76e582a04ebeb937d570fc403e81","","","Unclear, specify why","","Yes","Yes","https://osf.io/5x6y3/?view_only=28dc76e582a04ebeb937d570fc403e81","Yes","Yes","Yes","Yes","Unclear","No","Unclear","Yes","No","","Yes","https://osf.io/5x6y3/?view_only=28dc76e582a04ebeb937d570fc403e81","","","No","","Yes","Yes","No","https://osf.io/5x6y3/?view_only=28dc76e582a04ebeb937d570fc403e81","Yes","No","Unclear","Unclear","Unclear","Yes","Unclear",""
"100","276","R_3OHJEyeFJLPm8MQ","199","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2100891","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/software/DynamicESF_test_codes_and_data/16599377?file=30723815","","","Unclear, specify why","","Yes","Yes","https://figshare.com/articles/software/DynamicESF_test_codes_and_data/16599377?file=30723815","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://figshare.com/articles/software/DynamicESF_test_codes_and_data/16599377?file=30723815","","","No","","Yes","Yes","No","https://figshare.com/articles/software/DynamicESF_test_codes_and_data/16599377?file=30723815","Yes","No","No","No","No","Yes","No",""
"100","316","R_3L8wA4kbxWbBPbj","200","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2109159","Yes","Yes","Yes","","Yes","github","https://github.com/aliiasgharii/Spatial-consistency-checks","","","Unclear, specify why","The complecity of the process make the intermediate steps have uncertainties. ","Yes","Yes","https://github.com/aliiasgharii/Spatial-consistency-checks","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unclear","MIT","Yes","https://github.com/aliiasgharii/Spatial-consistency-checks","","","Yes","https://github.com/aliiasgharii/Spatial-consistency-checks","Yes","Yes","Yes","https://github.com/aliiasgharii/Spatial-consistency-checks","Yes","Unclear","Yes","Yes","No","Yes","No",""
"100","122","R_3DUcDXj4CAh1xnC","201","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2094931","Yes","Yes","Yes","","No","","","Other, please specify","The link shared for code is not found anymore. ","No","","","","","","","","","","","","","","","No","","Other, please specify","provided a link, however the link not available.","No","","","","","","","","","","","","",""
"100","1260","R_3CIxvXApKq4hUNe","203","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2098299","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/dataset/model_results_code_and_data/17086643/4?file=31626413","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","https://figshare.com/articles/dataset/model_results_code_and_data/17086643/4?file=31626413","Yes","Yes","Yes","Yes","No","No","No","No","No","","Yes","https://figshare.com/articles/dataset/model_results_code_and_data/17086643/4?file=31626413","","","No","","Yes","Yes","No","https://figshare.com/articles/dataset/model_results_code_and_data/17086643/4?file=31626413","Yes","No","No","No","No","Yes","No",""
"100","269","R_3LcyTgD9Eyk1N2F","204","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2102636","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/online_resource/Automated_generation_of_concentric_circles_metro_maps_using_mixed-integer_optimization/16550958?file=30601290","","","Unclear, specify why","unclear about the steps to proceed the files","Yes","Yes","https://figshare.com/articles/online_resource/Automated_generation_of_concentric_circles_metro_maps_using_mixed-integer_optimization/16550958?file=30601290","Yes","Yes","Yes","Yes","Yes","No","Unclear","Yes","Unclear","","Yes","https://figshare.com/articles/online_resource/Automated_generation_of_concentric_circles_metro_maps_using_mixed-integer_optimization/16550958?file=30601290","","","Yes","https://figshare.com/articles/online_resource/Automated_generation_of_concentric_circles_metro_maps_using_mixed-integer_optimization/16550958?file=30601290","Yes","Yes","No","https://figshare.com/articles/online_resource/Automated_generation_of_concentric_circles_metro_maps_using_mixed-integer_optimization/16550958?file=30601290","Yes","No","No","No","No","Yes","No",""
"100","882","R_3BWNNXTvXKPhsQk","205","https://www.tandfonline.com/doi/full/10.1080/13658816.2021.2020278","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/dataset/Data_and_Code_for_IJGIS-2021-0071/14339987/4?file=27364952","","","Unclear, specify why","not enough information in readme.txt","Yes","Yes","https://figshare.com/articles/dataset/Data_and_Code_for_IJGIS-2021-0071/14339987/4?file=27364952","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://figshare.com/articles/dataset/Data_and_Code_for_IJGIS-2021-0071/14339987/4?file=27364952","","","No","","Yes","Yes","No","https://figshare.com/articles/dataset/Data_and_Code_for_IJGIS-2021-0071/14339987/4?file=27364952","Yes","No","No","No","No","Yes","No",""
"100","1140","R_3EKp6HKDBo3ONty","206","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2075879","Yes","Yes","Yes","","Yes","github","https://github.com/AFGRRF/Area-Feature-Guide-Regularised-Random-Forest/blob/main/README.md","","","Yes","","Yes","Yes","https://github.com/AFGRRF/Area-Feature-Guide-Regularised-Random-Forest/blob/main/README.md","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://github.com/AFGRRF/Area-Feature-Guide-Regularised-Random-Forest/blob/main/README.md","","","Yes","https://github.com/AFGRRF/Area-Feature-Guide-Regularised-Random-Forest/blob/main/README.md","Yes","Yes","No","https://github.com/AFGRRF/Area-Feature-Guide-Regularised-Random-Forest/blob/main/README.md","Yes","No","Yes","No","No","Yes","No",""
"100","1147","R_3xJbpFSwSXaI18Z","207","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2081694","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/software/my-home-is-my-secret_zip/15156759?file=34107272","","","Unclear, specify why","","Yes","Yes","https://figshare.com/articles/software/my-home-is-my-secret_zip/15156759?file=34107272","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unclear","MIT","Yes","https://figshare.com/articles/software/my-home-is-my-secret_zip/15156759?file=34107272","","","Yes","https://figshare.com/articles/software/my-home-is-my-secret_zip/15156759?file=34107272","Yes","Yes","No","https://figshare.com/articles/software/my-home-is-my-secret_zip/15156759?file=34107272","Yes","No","Yes","Unclear","No","Yes","Yes",""
"100","203","R_3pET01QXgii4I75","208","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2097684","Yes","Yes","Yes","","Yes","FIGSHARE","https://figshare.com/articles/software/SVC-sel-rev_zip/16680610?file=30883870","","","Unclear, specify why","Only key steps are presented, not enough descriptions.","Yes","Yes","https://figshare.com/articles/software/SVC-sel-rev_zip/16680610?file=30883870","Yes","Yes","Yes","Yes","No","No","No","Yes","No","","Yes","https://figshare.com/articles/software/SVC-sel-rev_zip/16680610?file=30883870","","","No","","Yes","Yes","No","https://figshare.com/articles/software/SVC-sel-rev_zip/16680610?file=30883870","Yes","No","No","No","No","Yes","No",""
